3X	0
时光	1
成长	2
计划	3
打卡	4
第一	5
天	6
12.14	7
武汉	8
参加	9
荆楚	10
名家	11
培训	12
飞机	13
出发	14
一篇	15
文章	16
意味着	17
目的	18
方向	19
位移	20
当我们	21
赞美	22
时	23
是在	24
什么呢	25
怀念	26
憧憬	27
未来	28
更多	29
礼赞	30
选择	31
智慧	32
排除	33
干扰	34
能力	35
抬头	36
看路	37
勇气	38
而不	39
低头	40
做事	41
力气	42
书中	43
60	44
岁	45
作者	46
钻进	47
画室	48
忘	49
吃饭	50
喝水	51
腰酸背痛	52
难免	53
但对	54
一幅	55
作品	56
充满	57
期待	58
兴奋	59
教育部	60
领航	61
名	62
校长	63
张	64
德兰	65
文中	66
痴迷	67
热爱	68
听到	69
授课	70
感受	71
精气	72
神	73
敬佩	74
远远	75
高端	76
让我	77
关注	78
多年	79
夏天	80
风	81
深刻	82
早就	83
感觉	84
夏风	85
教室	86
推文	87
分享	88
朋友圈	89
推	90
老师们	91
身临	92
境地	93
可望	94
该是	95
知识	96
储备	97
情怀	98
经历	99
境界	100
很多人	101
很想	102
作出	103
一想到	104
不确定	105
性	106
本能	107
呆在	108
舒适	109
区	110
习惯	111
给自己	112
设限	113
年龄	114
大了	115
精力	116
总	117
有理由	118
生活	119
自己的	120
里	121
保值	122
焕发	123
二次	124
青春	125
活力	126
催化剂	127
老天	128
偏爱	129
某人	130
赐予	131
让她	132
舒展	133
本性	134
真性情	135
做	136
喜欢	137
事	138
万米	139
高空	140
密闭	141
机舱	142
远离	143
地面	144
日常	145
我在	146
思考	147
教育	148
咖	149
学习	150
营	151
分钟	152
PSS	153
介绍	154
学校	155
薪火	156
论坛	157
点评	158
学员	159
日子里	160
方式	161
六年	162
如一日	163
约	164
30	165
万字	166
早安	167
声	168
新形势	169
新	170
背景	171
载着	172
一所	173
励志	174
故事	175
希望	176
又一个	177
三年	178
感动	179
民大	180
附小	181
教	182
联体	183
杨	184
华丽	185
）	186
寒潮	187
来临	188
愈发	189
怀恋	190
前一段	191
阳光	192
甚好	193
之时	194
洒满	195
每一个	196
角落	197
操场上	198
跳跃	199
奔跑	200
身影	201
阅读	202
长廊	203
沉浸	204
书香	205
漫步	206
紫藤	207
廊间	208
回望	209
美好	210
片段	211
皆是	212
校园里	213
浪漫	214
中	215
温暖	216
来了	217
暂时	218
缺席	219
可以用	220
态度	221
慎始	222
如终	223
精神	224
创造	225
一份	226
冬日	227
让我们	228
点燃	229
心中	230
理想	231
每一天	232
都是	233
是一种	234
更是	235
一种	236
物有	237
本末	238
事有	239
终始	240
常常会	241
困难	242
挑战	243
应对	244
心	245
这就	246
回看	247
文化	248
发展	249
课程	250
构建	251
师生	252
素养	253
提升	254
零到	255
万种	256
样态	257
成熟	258
壮大	259
凭着	260
热情	261
真心	262
时刻	263
弥漫	264
暖阳	265
热	266
临近	267
期末	268
需要用	269
各项	270
工作	271
部门	272
述职	273
筹划	274
班主任	275
辅导员	276
教学	277
那就	278
用好	279
学期	280
那份	281
意气风发	282
执着	283
十佳	284
歌手	285
比赛	286
无纸化	287
测评	288
活动	289
少代会	290
大队	291
委	292
竞选	293
庆元旦	294
精彩	295
呈现	296
为本	297
画上	298
圆满	299
句号	300
古人云	301
有善	302
始者	303
实繁	304
能克	305
终者	306
盖	307
寡	308
能做到	309
人身	310
上有	311
这股	312
子	313
韧性	314
生长	315
劲儿	316
笃信	317
历练	318
都会	319
坚守	320
传承	321
化作	322
不竭	323
动力	324
也会	325
最好的	326
姿态	327
把握住	328
路上	329
每一寸	330
力所能及	331
积淀	332
寒冬	333
请	334
爱护	335
身体	336
行政	337
聊了	338
聊	339
宇辉	340
有时候	341
会议	342
不谈	343
谈	344
思想	345
热点	346
话题	347
称呼	348
我对	349
有一定	350
好感	351
每次	352
读到	353
视频	354
停留	355
多看	356
几眼	357
昨天	358
朋友	359
问我	360
怎么看	361
他和	362
作文	363
我说	364
看啊	365
就好比	366
晚间	367
你喜欢	368
不喜欢	369
屏蔽	370
很简单	371
全国	372
丈母娘	373
的人	374
设	375
才华	376
朴实	377
草根	378
记得	379
上次	380
社会	381
淄博	382
圈	383
契合	384
剖析	385
汲取	386
奋进	387
力量	388
东方	389
甄选	390
团队	391
前因后果	392
想必	393
都很	394
在我	395
这是	396
发光	397
幕后	398
是一个	399
穷日子	400
大家能	401
扛	402
好日子	403
相比	404
比了	405
精品课	406
骄人	407
成绩	408
最优秀	409
品质	410
团磨	411
拼搏	412
付出	413
这所	414
火到	415
极致	416
心存	417
不甘	418
防微杜渐	419
与会者	420
文字	421
每一位	422
同志	423
扪心自问	424
不为	425
人知	426
世界	427
也像	428
小编	429
般	430
好时	431
自然	432
一批	433
