第0类：	教学环境		第1类：	学校建设与招生		第2类：	人生感悟		第3类：	学校发展与教育活动		第4类：	工作管理与团队		第5类：	个人故事与经历		第6类：	学校管理与运营		第7类：	历史与思想教育		第8类：	教育发展与创新		第9类：	家庭与情感文化	
	老师	0.043714109		金马	0.011311511		人生	0.016915317		附小	0.037506629		工作	0.035153995		经历	0.013183532		学校	0.026855344		同志	0.009683026		教育	0.041586032		外婆	0.008382081
	孩子们	0.018768103		报告	0.006268162		自己的	0.01638297		活动	0.013702685		附小	0.01222389		故事	0.009893975		附小	0.020238399		说	0.008027808		学习	0.021086885		用心	0.006102965
	孩子	0.017596143		关注	0.005547684		生活	0.01598371		民大	0.013209339		优秀	0.010409278		师傅	0.006857461		校长	0.017780677		历史	0.006924329		学校	0.014922806		最佳	0.00584973
	学生	0.016424183		招生	0.005547684		的人	0.010260983		早安	0.012592657		努力	0.008924595		保安	0.005592247		集团	0.010312982		革命	0.005544981		科学	0.01162574		中国	0.00534326
	教师	0.01625676		工程	0.005067365		中	0.008663943		成长	0.01000259		学习	0.006450123		喜欢	0.00407399		民大	0.010123926		面对	0.004993241		发展	0.011195688		父母	0.004583555
	课	0.009559845		感觉	0.004827205		喜欢	0.007865423		教	0.009262571		集团	0.005790264		化妆	0.00407399		教育	0.010029398		看得	0.004165632		课程	0.009905532		你不	0.004077085
	课堂	0.008387885		设计	0.004587046		早安	0.007865423		学校	0.007782533		时间	0.005625299		让我们	0.003567904		小学	0.009273176		一遍	0.003889762		学生	0.009905532		作品	0.00382385
	老师们	0.007885617		室	0.004346886		一生	0.005736036		学习	0.007289187		老师们	0.005460334		生命	0.003567904		金马	0.008706009		时代	0.003613893		创新	0.009045428		父亲	0.00382385
	时	0.005876542		校区	0.004346886		爱	0.005469863		声	0.007165851		行政	0.005460334		出发	0.003314861		工作	0.008138842		娃娃	0.003613893		创造	0.006178414		母亲	0.003570615
	早安	0.005541697		厅	0.004346886		事情	0.005336776		孩子们	0.007165851		目标	0.005295369		我在	0.003314861		领导	0.008044315		妈妈	0.003613893		思考	0.00517496		记得	0.00331738
	班级	0.005374274		施工	0.004346886		世界	0.005070602		联体	0.006919178		团队	0.005130405		的人	0.003314861		老师们	0.007288092		养	0.003613893		思政	0.005031609		用情	0.00331738
	记录	0.005374274		学校	0.004106727		孩子	0.005070602		精神	0.006795841		副校长	0.005130405		管理	0.003314861		校区	0.007099037		群众	0.003613893		书记	0.004744907		美术	0.003064144
	每一个	0.005206851		电话	0.004106727		声	0.004937516		阅读	0.006672505		感	0.005130405		自然	0.003061818		早安	0.007004509		思考	0.003338023		培养	0.004601557		一件事	0.003064144
	优秀	0.005206851		文化	0.003626408		思考	0.004804429		中心	0.006549168		早安	0.00496544		期待	0.002808776		昨天	0.007004509		思想	0.003338023		未来	0.004458206		外公	0.003064144
	班	0.005206851		陈	0.003626408		幸福	0.004804429		努力	0.005932486		习惯	0.00463551		中	0.002808776		说	0.006909981		宣传	0.003338023		思想	0.004458206		红枫	0.003064144
	教育	0.005039428		地方	0.003626408		热爱	0.004671342		师生	0.005192467		松弛	0.00463551		表现	0.002808776		都是	0.006059231		主义	0.003338023		中国	0.004458206		电影	0.002810909
	昨天	0.005039428		都在	0.003386248		情绪	0.004671342		中	0.00506913		做	0.004470546		幕后	0.00230269		时间	0.006059231		评价	0.003338023		办学	0.004314855		三个	0.002810909
	教室	0.004704582		建议	0.003146089		里	0.004405169		团队	0.004699121		华为	0.004305581		的是	0.00230269		书记	0.00568112		每个人	0.003062153		研究	0.004314855		文化	0.002557674
	桌椅	0.004202314		建设	0.00290593		善良	0.004272082		教学	0.004575784		主任	0.004140616		我想	0.00230269		家长	0.005492064		钉子	0.003062153		集团	0.004314855		感受	0.002304439
	做	0.004034891		二是	0.00290593		时	0.004138996		教师	0.004452448		号	0.004140616		文章	0.002049647		声	0.005208481		使命	0.003062153		建设	0.003884803		优秀	0.002304439
